+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
| ASMA                          | SUBSTANTIVO | NOUN |           |
| ASPA                          | SUBSTANTIVO | NOUN |           |
| ASPEREZA                      | SUBSTANTIVO | NOUN |           |
| ASPIRADOR DE PÓ               | SUBSTANTIVO | NOUN |           |
| ASSEMBLÉIA DE DEUS            | SUBSTANTIVO | NOUN |           |
| ASSEMBLÉIA GERAL              | SUBSTANTIVO | NOUN |           |
| ASSINATURA                    | SUBSTANTIVO | NOUN |           |
| ASSISTENTE                    | SUBSTANTIVO | NOUN |           |
| ASSISTENTE SOCIAL             | SUBSTANTIVO | NOUN |           |
| ASSOALHO                      | SUBSTANTIVO | NOUN |           |
| ASSOBIO                       | SUBSTANTIVO | NOUN |           |
| ASSOCIAÇÃO                    | SUBSTANTIVO | NOUN |           |
| ASSOMBRAÇÃO                   | SUBSTANTIVO | NOUN |           |
| ASSUNTO                       | SUBSTANTIVO | NOUN |           |
| ASTRONOMIA                    | SUBSTANTIVO | NOUN |           |
| ATALHO                        | SUBSTANTIVO | NOUN |           |
| ATENÇÃO2                      | SUBSTANTIVO | NOUN |           |
| ATENÇÃO3                      | SUBSTANTIVO | NOUN |           |
| ATESTADO                      | SUBSTANTIVO | NOUN |           |
| ATLETISMO                     | SUBSTANTIVO | NOUN |           |
| ATOR                          | SUBSTANTIVO | NOUN |           |
| ATRAÇÃO                       | SUBSTANTIVO | NOUN |           |
| ATRAIR                        | SUBSTANTIVO | NOUN |           |
| ATRIZ                         | SUBSTANTIVO | NOUN |           |
| AUDIÇÃO1                      | SUBSTANTIVO | NOUN |           |
| AUDIÇÃO2                      | SUBSTANTIVO | NOUN |           |
| AUDIOMETRIA                   | SUBSTANTIVO | NOUN |           |
| AUDITÓRIO                     | SUBSTANTIVO | NOUN |           |
| AULA                          | SUBSTANTIVO | NOUN |           |
| AUSTRÁLIA                     | SUBSTANTIVO | NOUN |           |
| ÁUSTRIA                       | SUBSTANTIVO | NOUN |           |
| AUTOMOBILISMO                 | SUBSTANTIVO | NOUN |           |
| AUTOMÓVEL                     | SUBSTANTIVO | NOUN |           |
| AUTOR                         | SUBSTANTIVO | NOUN |           |
| AUTORIDADE                    | SUBSTANTIVO | NOUN |           |
| AUXÍLIO                       | SUBSTANTIVO | NOUN |           |
| AVAREZA                       | SUBSTANTIVO | NOUN |           |
| AVE                           | SUBSTANTIVO | NOUN |           |
| AVENIDA                       | SUBSTANTIVO | NOUN |           |
| AVENTAL                       | SUBSTANTIVO | NOUN |           |
| AVERSÃO                       | SUBSTANTIVO | NOUN |           |
| AVESTRUZ                      | SUBSTANTIVO | NOUN |           |
| AVIÃO1                        | SUBSTANTIVO | NOUN |           |
| AVIÃO2                        | SUBSTANTIVO | NOUN |           |
| AVIÃO3                        | SUBSTANTIVO | NOUN |           |
| AVÔ/AVÓ1                      | SUBSTANTIVO | NOUN |           |
| AVÔ/AVÓ2                      | SUBSTANTIVO | NOUN |           |
| AXILA                         | SUBSTANTIVO | NOUN |           |
| AZAR                          | SUBSTANTIVO | NOUN |           |
| AZEITE                        | SUBSTANTIVO | NOUN |           |
