+--------------------+-------+--------+-----------------------------------------------------------+
| ATACAR             | VERBO | VERB   |                                                           |
| ATACAR             | VERBO | VERB   |                                                           |
| ATARRAXAR          | VERBO | VERB   |                                                           |
| ATEAR              | VERBO | VERB   |                                                           |
| ATESTAR            | VERBO | VERB   |                                                           |
| ATINGIR            | VERBO | VERB   |                                                           |
| ATIRAR             | VERBO | VERB   |                                                           |
| ATIRAR             | VERBO | VERB   |                                                           |
| ATRAPALHAR         | VERBO | VERB   |                                                           |
| ATRAPALHAR         | VERBO | VERB   |                                                           |
| ATRASAR            | VERBO | VERB   |                                                           |
| ATRAVESSAR         | VERBO | VERB   |                                                           |
| ATROPELAR          | VERBO | VERB   |                                                           |
| ATUAR              | VERBO | VERB   |                                                           |
| AUMENTAR           | VERBO | VERB   |                                                           |
| AUMENTAR           | VERBO | VERB   |                                                           |
| AUMENTAR           | VERBO | VERB   |                                                           |
| AUMENTAR           | VERBO | VERB   |                                                           |
| AUTENTICAR         | VERBO | VERB   |                                                           |
| AUTORIZAR          | VERBO | VERB   |                                                           |
| AUXILIAR           | VERBO | VERB   |                                                           |
| AVALIAR            | VERBO | VERB   |                                                           |
| AVALIAR            | VERBO | VERB   |                                                           |
| AVANÇAR1           | VERBO | VERB   |                                                           |
| AVANÇAR2           | VERBO | VERB   |                                                           |
| AVISAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| BABAR              | VERBO | VERB   |                                                           |
| BAGUNÇAR           | VERBO | VERB   |                                                           |
| BAIXAR             | VERBO | VERB   |                                                           |
| BAJULAR            | VERBO | VERB   |                                                           |
| BALANÇAR2          | VERBO | VERB   |                                                           |
| BALANÇAR3          | VERBO | VERB   |                                                           |
| BALBUCIAR          | VERBO | VERB   |                                                           |
| BALBUCIAR          | VERBO | VERB   |                                                           |
| BAMBOLEAR          | VERBO | VERB   |                                                           |
| BANHAR             | VERBO | VERB   |                                                           |
| BANIR              | VERBO | VERB   |                                                           |
| BATER              | VERBO | VERB-L | Verbo conjugado por locativo                              |
| BATER              | VERBO | VERB-L | Verbo conjugado por locativo                              |
| BATER              | VERBO | VERB-L | Verbo conjugado por locativo                              |
| BATIZAR            | VERBO | VERB   |                                                           |
| BATIZAR            | VERBO | VERB   |                                                           |
| BATUCAR            | VERBO | VERB   |                                                           |
| BEBER              | VERBO | VERB   |                                                           |
| BEBER              | VERBO | VERB   |                                                           |
| BEBER              | VERBO | VERB   |                                                           |
| BEBER              | VERBO | VERB   |                                                           |
| BEBER              | VERBO | VERB   |                                                           |
| BEIJAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| BEIJAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| BEIJAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| BELISCAR           | VERBO | VERB   |                                                           |
| BENZER             | VERBO | VERB   |                                                           |
| BERRAR             | VERBO | VERB   |                                                           |
| BICAR              | VERBO | VERB   |                                                           |
| BISBILHOTAR        | VERBO | VERB   |                                                           |
| BLASFEMAR          | VERBO | VERB   |                                                           |
| BLOQUEAR           | VERBO | VERB   |                                                           |
| BOCEJAR            | VERBO | VERB   |                                                           |
| BOCEJAR            | VERBO | VERB   |                                                           |
| BOIAR              | VERBO | VERB   |                                                           |
| BORBULHAR          | VERBO | VERB   |                                                           |
| BORDAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| BORRAR             | VERBO | VERB   |                                                           |
| BORRIFAR           | VERBO | VERB   |                                                           |
| BOTAR              | VERBO | VERB   |                                                           |
| BOTAR              | VERBO | VERB   |                                                           |
| BRADAR             | VERBO | VERB   |                                                           |
| BRIGAR             | VERBO | VERB   |                                                           |
| BRIGAR             | VERBO | VERB   |                                                           |
| BRIGAR             | VERBO | VERB   |                                                           |
| BRILHAR            | VERBO | VERB   |                                                           |
| BRINCAR            | VERBO | VERB   |                                                           |
| BRINDAR            | VERBO | VERB   |                                                           |
| BRONZEAR           | VERBO | VERB   |                                                           |
| BROTAR             | VERBO | VERB   |                                                           |
| BUFAR              | VERBO | VERB   |                                                           |
| BUSCAR             | VERBO | VERB   |                                                           |
| BUZINAR            | VERBO | VERB   |                                                           |
| CABELO             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CABER              | VERBO | VERB   |                                                           |
| CAÇAR              | VERBO | VERB   |                                                           |
| CACAREJAR          | VERBO | VERB   |                                                           |
| CAÇOAR             | VERBO | VERB   |                                                           |
| CAÇULA             | VERBO | VERB   |                                                           |
| CAGAR              | VERBO | VERB   |                                                           |
| CAIR               | VERBO | VERB-G | Verbo conjugado por gênero                                |
| CAIR               | VERBO | VERB-G | Verbo conjugado por gênero                                |
| CALAR              | VERBO | VERB   |                                                           |
| CALAR A BOCA       | VERBO | VERB   |                                                           |
| CALÇAR             | VERBO | VERB   |                                                           |
| CALCULAR           | VERBO | VERB   |                                                           |
| CAMBALEAR          | VERBO | VERB   |                                                           |
| CAMINHAR           | VERBO | VERB   |                                                           |
| CAMUFLAR           | VERBO | VERB   |                                                           |
| CANCELAR           | VERBO | VERB   |                                                           |
| CANCELAR           | VERBO | VERB   |                                                           |
| CANSAR             | VERBO | VERB   |                                                           |
| CANTAR             | VERBO | VERB   |                                                           |
| CAPENGAR           | VERBO | VERB   |                                                           |
| CAPOTAR            | VERBO | VERB   |                                                           |
| CAPRICHAR          | VERBO | VERB   |                                                           |
| CAPTAR             | VERBO | VERB   |                                                           |
| CARIMBAR           | VERBO | VERB   |                                                           |
| CARIMBAR           | VERBO | VERB   |                                                           |
| CARREGAR           | VERBO | VERB   |                                                           |
| CASAR              | VERBO | VERB   |                                                           |
| CASTIGAR           | VERBO | VERB   |                                                           |
| CASTRAR            | VERBO | VERB   |                                                           |
| CAVALGAR           | VERBO | VERB   |                                                           |
| CEIFAR             | VERBO | VERB   |                                                           |
| CENSURAR           | VERBO | VERB   |                                                           |
| CERCAR             | VERBO | VERB   |                                                           |
| CERTIFICAR         | VERBO | VERB   |                                                           |
| CHAMAR             | VERBO | VERB   |                                                           |
| CHAMAR             | VERBO | VERB   |                                                           |
| CHAMAR             | VERBO | VERB   |                                                           |
| CHATEAR            | VERBO | VERB   |                                                           |
| CHEGAR             | VERBO | VERB   |                                                           |
| CHEGAR             | VERBO | VERB   |                                                           |
| CHEGAR             | VERBO | VERB   |                                                           |
| CHEIRAR            | VERBO | VERB   |                                                           |
| CHICOTEAR          | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CHOCAR             | VERBO | VERB   |                                                           |
| CHOCAR             | VERBO | VERB   |                                                           |
| CHOCAR             | VERBO | VERB   |                                                           |
| CHORAR             | VERBO | VERB   |                                                           |
| CHOVER             | VERBO | VERB   |                                                           |
| CHUPAR LARANJA     | VERBO | VERB   |                                                           |
| CHUPAR PIRULITO    | VERBO | VERB   |                                                           |
| CHUTAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CHUTAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CIRCULAR           | VERBO | VERB   |                                                           |
| CIRCUNCIDAR        | VERBO | VERB   |                                                           |
| CISCAR             | VERBO | VERB   |                                                           |
| CLASSIFICAR        | VERBO | VERB   |                                                           |
| COAGIR             | VERBO | VERB   |                                                           |
| COAR               | VERBO | VERB   |                                                           |
| COBIÇAR            | VERBO | VERB   |                                                           |
| COBRAR             | VERBO | VERB   |                                                           |
| COBRAR             | VERBO | VERB   |                                                           |
| COBRIR             | VERBO | VERB   |                                                           |
| COBRIR             | VERBO | VERB   |                                                           |
| COBRIR             | VERBO | VERB   |                                                           |
| COÇAR              | VERBO | VERB   |                                                           |
| COCHICHAR          | VERBO | VERB   |                                                           |
| COCHILAR           | VERBO | VERB   |                                                           |
| COINCIDIR          | VERBO | VERB   |                                                           |
| COLABORAR          | VERBO | VERB   |                                                           |
| COLHER             | VERBO | VERB   |                                                           |
| COLIDIR            | VERBO | VERB   |                                                           |
| COLOCAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| COLOCAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| COLORIR            | VERBO | VERB   |                                                           |
| COMANDAR           | VERBO | VERB   |                                                           |
| COMBATER           | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| COMBINAR           | VERBO | VERB   |                                                           |
| COMBINAR           | VERBO | VERB   |                                                           |
| COMEÇAR1           | VERBO | VERB   |                                                           |
| COMEÇAR2           | VERBO | VERB   |                                                           |
| COMEMORAR          | VERBO | VERB   |                                                           |
| COMENTAR           | VERBO | VERB   |                                                           |
| COMER              | VERBO | VERB   |                                                           |
| COMOVER            | VERBO | VERB   |                                                           |
| COMPADECER         | VERBO | VERB   |                                                           |
| COMPARAR           | VERBO | VERB   |                                                           |
| COMPARECER         | VERBO | VERB   |                                                           |
| COMPENSAR          | VERBO | VERB   |                                                           |
| COMPETIR           | VERBO | VERB   |                                                           |
| COMPLETAR          | VERBO | VERB   |                                                           |
| COMPORTAR          | VERBO | VERB   |                                                           |
